ID,Source,Section,Status,Lane,Branch,Title,Description,Keep_Y_N_Maybe,Your_Notes
TQ-019,TASK_QUEUE.md,UI,Tabbed,UI,feat/ui-redesign,Task 8 — Battle feedback / game feel,Hit pause / lunge / shake / overload / death SFX done. Remaining ANIMATION.md Tier 1-3 touches card layout — resume after UI chrome locks.,,
TQ-020,TASK_QUEUE.md,UI,Done,UI,main,Death SFX timing,Fatal death SFX at hit moment; skip lead/pause on kills; poison ticks own feedback group.,,
TQ-021,TASK_QUEUE.md,UI,Done,UI,main,Task 9 — Audio system,AudioManager wired; SFX tiers per AUDIO.md; hooked to Task 8 events.,,
TQ-022,TASK_QUEUE.md,UI,Open,UI,main,Incoming target indicators,During hero targeting show low-key who each enemy is aimed at (pip / connector / subtitle). Readable at 450x1000.,,
TQ-023,TASK_QUEUE.md,UI,Done,UI,main,HP preview — heal before damage,Three playtest bugs: DoT preview sticks; blastAll previews gated until manual target pick; heal+dmg net HP bar/label disagree. See TASK_QUEUE handoff section.,,
TQ-024,TASK_QUEUE.md,UI,Done,UI,main,Ability target scope clarity,SELF / ALL scope vocabulary; no trailing ALLY badge; blastAll dmg shows ALL.,,
TQ-025,TASK_QUEUE.md,UI,Done,UI,main,Ability readout — bracket scope + superscript,EffectPip notation )value( / (value) / plain + superscript duration on dice tray and card pips.,,
TQ-026,TASK_QUEUE.md,UI,Ongoing,UI,main,Card proportion / readability,Tune portrait vs HP vs status at 450x1000 in compact_unit_card.gd and BATTLE_UI_V2_SPEC §19.,,
TQ-027,TASK_QUEUE.md,UI,Ongoing,UI,main,Reward / evolution visual consistency,Shared PersistentHeader; polish pass so reward and evolution match battle chrome.,,
TQ-028,TASK_QUEUE.md,UI,Dropped,UI,main,V2 band geometry audit,Center band 540px is intentional; no Task 3 geometry pass needed.,,
TQ-029,TASK_QUEUE.md,UI,Optional,UI,main,Protocol footer chrome extract,Optional refactor: extract protocol footer from battle scene into reusable component. Not formally queued.,,
TQ-030,TASK_QUEUE.md,UI,Optional,UI,main,Help overlay extract,Optional refactor: extract help overlay. Not formally queued.,,
TQ-031,TASK_QUEUE.md,Combat,Done,Backend,fix/cleanup,Evolution XP (D2),100 XP gate; 20+avg_roll alive / avg_roll dead; one evolution per battle win + deferred FIFO queue.,,
TQ-032,TASK_QUEUE.md,Combat,Done,Backend,fix/cleanup,Revive pct + reviveAll,revivePct and reviveAll in schema + combat_manager.gd for medic evos.,,
TQ-033,TASK_QUEUE.md,Combat,Done,Backend,fix/cleanup,Gear/relic ability audit regressions,12 gear/relic effect handlers covered in AbilityAuditRunner.tscn.,,
TQ-034,TASK_QUEUE.md,Combat,Paused,Backend,fix/cleanup,Task 5 — Facility balance (sim),Same as TQ-001. Sim tuning deferred until finalize pass.,,
TQ-035,TASK_QUEUE.md,Parking lot,Parked,UI,main,Task 14 — Enemy half-cards,Compact/half-height enemy cards when 4-5 enemies in fight. Current 3-enemy layout is priority.,,
TQ-036,TASK_QUEUE.md,Parking lot,Parked,Backend,fix/cleanup,Task 7 — Rename dot to burn,Lockstep rename dot/poison to burn across data combat sim audits UI. Large touch surface; one session only.,,
TQ-037,TASK_QUEUE.md,Parking lot — Design,Pinned,Design,,Facility full-clear target (D1),Design pin: 25-40% skilled full-clear in real play with items/protocol/relic. Flat sim ~1.7% is lab reference only.,,
TQ-038,TASK_QUEUE.md,Parking lot — Design,Done,Design,,Evolution XP (D2) design pin,Design decision locked and implemented. See TQ-031.,,
TQ-039,TASK_QUEUE.md,Parking lot — Design,Deferred,Design,,Shield hero viability (D3),Leave shield hero kit as-is until finalize pass + richer sim.,,
TQ-040,TASK_QUEUE.md,Parking lot — Design,Deferred,Design,,Sim expansion (items/protocol/relic),No new sim scope until later finalize pass.,,
TQ-041,TASK_QUEUE.md,Parking lot — Design,Not an issue,Design,,Round 5 relic duplicate,Relics only drop after fight 5; one relic per run — not a bug.,,
TQ-042,TASK_QUEUE.md,Parking lot — Design,Not scheduled,Backend,,Mark / vulnerable keyword,markNext keyword: combat_manager + schema + sample abilities. Not scheduled.,,
TQ-043,TASK_QUEUE.md,Parking lot — Design,Dropped,Backend,,Sim — full protocol economy,gainProtocol charge pool in sim is sufficient; full economy sim dropped.,,
TQ-044,TASK_QUEUE.md,Parking lot — Design,Not scheduled,Backend,,ARC electric status,Option A force roll 1 vs Option B zone bump for ARC electric. Not scheduled.,,
TQ-045,TASK_QUEUE.md,Parking lot — Design,Open,Design,,Demo scope,Decide: all 5 operations in demo vs facility-first demo scope.,,
TQ-046,TASK_QUEUE.md,Parking lot — Design,Far future,Design,,Third evolution / stats (STR/DEX/INT),Far-future design — not planned.,,
TQ-047,TASK_QUEUE.md,Parking lot — Design,Partial,Backend,,Wraith Engineer protocol efficiency,Manipulation discounts partially done; Overclocked generator done; rest TBD.,,
TQ-048,TASK_QUEUE.md,Parking lot — Design,Pinned,UI,,Ability target scope labels,Display vocabulary SELF / ALLY / ALL only. Mostly implemented via EffectPip; doc pin remains.,,
TQ-049,TASK_QUEUE.md,Completed (reference),Done,Meta,,Doc drift (Task 0),CLAUDE.md GDD.md ROADMAP.md reconciled to GROUND_TRUTH.,,
TQ-050,TASK_QUEUE.md,Completed (reference),Done,Meta,,Baseline (Task 1),docs/BASELINE.md + tag baseline-fable-restart + ability audit baseline.,,
TQ-051,TASK_QUEUE.md,Completed (reference),Done,Backend,,Task 2 — battle_scene split,battle_layout.gd battle_card_view.gd battle_feedback.gd extracted from monolith.,,
TQ-052,TASK_QUEUE.md,Completed (reference),Done,Backend,,Task 4 — Ability audit,78+ passed Godot; 0 Python keyword gaps at time of completion.,,
TQ-053,TASK_QUEUE.md,Completed (reference),Done,Backend,,Sim gainProtocol,Charge pool in battle-progress-sim.lib.ts for protocol in sims.,,
TQ-054,TASK_QUEUE.md,Completed (reference),Done,Backend,,Task 6 — Gear & relic effects,14 Task-6 effect types wired; audit_gear_relic_effects.py clean.,,
TQ-055,TASK_QUEUE.md,Completed (reference),Done,Backend,,Task 10 — Protocol economy,Cap 10 +1/turn nudge/reroll/set costs; Protocol Override cost 0.,,
TQ-056,TASK_QUEUE.md,Completed (reference),Done,Backend,,Hygiene — project.godot tmp,Untracked Godot editor temp files removed from git index.,,
TQ-057,TASK_QUEUE.md,Completed (reference),Done,Backend,,Facility backend merge,Validation Scrapmaster P2 boss P2 rules merged.,,
TQ-058,TASK_QUEUE.md,Completed (reference),Done,Data,,Data batch Jun 2026,Facility fight 7 medic/trench/guard/relic JSON; revivePct/reviveAll schema.,,
TQ-059,TASK_QUEUE.md,Completed (reference),Done,UI,,EffectPip centralization,Central effect pip module for abilities gear relics items + EFFECT_PIP_GUIDE.md.,,
TQ-060,TASK_QUEUE.md,Completed (reference),Done,UI,,Battle targeting highlights,Team dither borders gold active picker bright pending hero names. Jun 2026.,,
UIB-001,UI_BACKLOG.md,§1 Encounter carousel,Done,UI,main,Boss image right of data,Encounter carousel shows boss portrait to the right of encounter text. Done 855c60c.,,
UIB-002,UI_BACKLOG.md,§1 Encounter carousel,Done,UI,main,Carousel nav buttons half height,Encounter carousel prev/next buttons reduced to half height. Done 855c60c.,,
UIB-003,UI_BACKLOG.md,§2 Squad picker,Done,UI,main,Larger SELECT ENCOUNTER / SELECT SQUAD headers,Picker header typography enlarged. Done 855c60c.,,
UIB-004,UI_BACKLOG.md,§2 Squad picker,Done,UI,main,Larger description font,Larger font for encounter and unit detail blurbs. Done 855c60c.,,
UIB-005,UI_BACKLOG.md,§2 Squad picker,Done,UI,main,Remove 3 OF 8 from squad header,Removed slot count from SELECT SQUAD header line. Done 855c60c.,,
UIB-006,UI_BACKLOG.md,§2 Squad picker,Done,UI,main,Focus tag top-right,Control/Offense/Defense tag moved to top-right of unit box. Done 855c60c.,,
UIB-007,UI_BACKLOG.md,§2 Squad picker,Done,UI,main,Remove slot-number badges,Removed 1/2/3 slot badges; cyan selection highlight is enough. Done 855c60c.,,
UIB-008,UI_BACKLOG.md,§3 Content copy,Open — may be done,Data,main,Rewrite unit pickerBlurbs,Concise hero blurbs in heroes.data.json — no evolution info no em dashes. Data updated Jun 2026; confirm and check off backlog.,,
UIB-009,UI_BACKLOG.md,§3 Content copy,Open — may be done,Data,main,Rewrite operation blurbs/victorySub,Concise operation blurbs in battle-modes.json — no boss names in blurb. Data updated Jun 2026; confirm and check off backlog.,,
UIB-010,UI_BACKLOG.md,§4 Unit detail popup,Open,UI,main,MORE button — full unit detail popup,Add MORE button on picker detail bar opening popup with full ability/roll breakdown.,,
UIB-011,UI_BACKLOG.md,§4 Unit detail popup,Open,UI,main,Battle long-press → same detail popup,Long-press portrait in battle opens same unit detail screen; needs sizing layout typography TLC.,,
UIB-012,UI_BACKLOG.md,§4 Unit detail popup,Open,UI,main,Separate view info from select unit,Design flow to browse unit details without auto-selecting for squad — minimal extra clicks. Design task first.,,
UIB-013,UI_BACKLOG.md,§5 Battle targeting,Done,UI,main,Target highlight = team border color,Legal targets use DT_ENEMY_DITHER / DT_HERO_DITHER; active picker gold border; no layout shift.,,
UIB-014,UI_BACKLOG.md,§5 Battle targeting,Done,UI,main,No portrait gray for non-targeting heroes,Bright portrait always; pending heroes get bright name; active picker normal name + gold border.,,
UIB-015,UI_BACKLOG.md,§5 Battle targeting,Open — mostly done,UI,main,Better ability scope/keyword display,All/Self/duration/keyword clarity. Mostly EffectPip; may need status chip + tooltip pass at 450x1000.,,
UIB-016,UI_BACKLOG.md,§6 Tooltips,Open,UI,main,Update hover long-descriptions,Refresh dice rollover ability-pip rollover and status rollover tooltips for new UI context.,,
SPEC-001,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Ongoing,UI,main,Card proportion balance,Final balance between portrait band HP band and status band on compact unit cards.,,
SPEC-002,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Ongoing,UI,main,Unit name sizing,Phone-readable unit name font/size at 450x1000 preview scale.,,
SPEC-003,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Done,UI,main,HP number readability,HP text legible over the HP bar fill.,,
SPEC-004,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Ongoing,UI,main,Status region density,Status chip row density and clarity on unit cards.,,
SPEC-005,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Ongoing,UI,main,Readout overflow (two-row abilities),Ability readout behavior when abilities need two pip rows — no spill past dice tray.,,
SPEC-006,BATTLE_UI_V2_SPEC.md,§19 Open tuning,Ongoing,UI,main,Button/header/footer polish,Final polish on battle chrome after card readability pass is stable.,,
HAND-001,CURSOR_HANDOFF.md,Open work — STALE,Open,UI,feat/ui-redesign,Task 13 show picker blurbs,Duplicate of TQ-014. Handoff doc not updated since audio/targeting work.,,
HAND-002,CURSOR_HANDOFF.md,Open work — STALE,Tabbed,UI,feat/ui-redesign,Task 8/9 animation + audio,STALE: Task 9 done. Task 8 partially done. Update or remove from handoff.,,
HAND-003,CURSOR_HANDOFF.md,Open work — STALE,Parked,UI,feat/ui-redesign,Task 14 enemy half-cards,STALE: moved to parking lot TQ-035. Update handoff.,,
HAND-004,CURSOR_HANDOFF.md,Open work — STALE,Open,UI,feat/ui-redesign,Incoming target indicators,Duplicate of TQ-022.,,
HAND-005,CURSOR_HANDOFF.md,Open work — STALE,Ongoing,UI,feat/ui-redesign,Finish Direction-05 UI on branch,Generic polish item; commit battle_scene.gd WIP mentioned in handoff — verify if still relevant.,,
HAND-006,CURSOR_HANDOFF.md,Open work — STALE,Paused,Backend,fix/cleanup,Task 5 facility balance sim,Duplicate of TQ-001 / TQ-034.,,
HAND-007,CURSOR_HANDOFF.md,Open work — STALE,Not started,Backend,fix/cleanup,Tier 3 sim full run loop,Optional sim with full run loop + rewards — discussed not started.,,
ROAD-001,ROADMAP.md,Priority A,Ongoing,UI,main,Battle UI readability (theme),Active highest-value track: card proportions portrait/HP/status hierarchy phone readability. Overlaps TQ-026 and SPEC-001–006.,,
ROAD-002,ROADMAP.md,Priority B,Ongoing,UI,main,Shared in-match UI consistency,Battle reward evolution share header framing tooltips typography. Overlaps TQ-027.,,
ROAD-003,ROADMAP.md,Priority C,Ongoing,UI,main,Reward and evolution polish,Reward/evolution UX cleanup and consistency with battle. Overlaps TQ-027.,,
ROAD-004,ROADMAP.md,Goal 1,Ongoing,UI,main,Stabilize battle card readability,Sub-goals: unit names HP band portrait proportion status band. Success = readable at 450x1000.,,
ROAD-005,ROADMAP.md,Goal 2,Ongoing,Process,,Screenshot-driven visual discipline,Compile-check + regenerate screenshot + honest visual eval for any battle visual change. Process goal not a feature.,,
ROAD-006,ROADMAP.md,Goal 3,Ongoing,Meta,,Keep agent docs current,Maintain AI_AGENT_GAME_REFERENCE.md and BASELINE.md after merges. Partially done Jun 2026.,,
ROAD-007,ROADMAP.md,Medium-Term A,Ongoing,Backend,main,Mechanic cleanup confidence,Validate dice physics; targeting equivalence cards vs dice; reduce battle_scene fragility.,,
ROAD-008,ROADMAP.md,Medium-Term B,Ongoing,Art,main,Asset swap polish,Replace legacy placeholder art; align borders/backgrounds; avoid frame clutter.,,
ROAD-009,ROADMAP.md,Medium-Term C,Ongoing,UI,main,Cross-screen consistency,Home battle reward evolution run-end should feel like one game not stitched prototypes.,,
ROAD-010,ROADMAP.md,Long-Term A,Far future,UI,main,Final art pass,Final card styling header/footer pip/readout language background harmony after proportions stable.,,
ROAD-011,ROADMAP.md,Long-Term B,Far future,Backend,,Full-content confidence,Broader operation coverage reward pool validation evolution-path confidence long-form balance testing.,,
MISC-001,(session notes),Not in queue,Open,UI,main,Migrate build_effect_chips,Legacy emoji chips in battle_card_view.build_effect_chips() for unwired ability-chart UI. Migrate to EffectPip or delete when detail popup built.,,
MISC-002,(session notes),Not in queue,Open,Meta,,Prune and dedupe task docs,User audit: merge TASK_QUEUE UI_BACKLOG ROADMAP handoff into one maintained list; mark stale items; remove completed reference bloat.,,
MISC-003,(session notes),Not in queue,Open,Meta,,Update CURSOR_HANDOFF.md,Handoff open-work section is stale (audio done half-cards parked targeting done). Sync or point only to TASK_MASTER_LIST.csv.,,
BAL-001,(ruling 2026-07-30),Next balance cycle,Open,Backend,main,Baseline re-pin (FIRST task of next balance cycle),Re-pin scripts/sim/baseline.json to the acknowledged 2026-07 drifted state (overall 36.3% / hive 28.8%) with BASELINE-APPROVED-BY-KEV; then delete scripts/sim/acknowledged_drift.json and the verify_gate carve-out. See docs/balance_snapshot_2026-07.md.,,
